eNodeB Name,Integrity,RRC Setup Success Ratio_LTE(%),RRC Setup Success Ratio_NOM_LTE(number),RRC Setup Success Ratio_DENOM_LTE(number),E-RAB Setup Success Ratio_LTE(%),E-RAB Setup Success Ratio_NOM_LTE(number),E-RAB Setup Success Ratio (Denom),E-RAB Drop Ratio_LTE(%),E-RAB Drop Ratio_NOM_LTE(number),E-RAB Drop Ratio_DENOM_LTE(number),Intra-eNB Handover Success Ratio_LTE(%),Intra-eNB Handover Success Ratio_NOM_LTE(number),Intra-eNB Handover Success Ratio_DENOM_LTE(number),Inter-eNB HO Success Ratio (X2-Based)_new_LTE(%),Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number),Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number),Inter-RAT HO Success Ratio %,Inter-RAT HO Success Ratio (Nom),Inter-RAT HO Success Ratio (Denom)(number),IRAT Redir Success Rate_LTE(%),IRAT Redir Success Rate_NOM_LTE(number),IRAT Redir Success Rate_DENOM_LTE(number),CSFB Prepare Success Rate_LTE(number),CSFB Prepare Success Rate_NOM_LTE(number),CSFB Prepare Success Rate_DENOM_LTE(number),CSFB execution ratio_LTE(%),CSFB execution ratio_NOM_LTE(number),CSFB execution ratio_DENOM_LTE(number),CSFB SR v7.0_LTE(%),CSFB SR v7.0_NOM_LTE(number),CSFB SR v7.0_DENOM_LTE(number),S1 Signaling Success Ratio_LTE(%),S1 Signaling Success Ratio_NOM_LTE(number),S1 Signaling Success Ratio_DENOM_LTE(number),Packet Delay Budget (UE to PGW),Packet Delay Budget (UE to PGW) (Nom)(number),Packet Delay Budget (UE to PGW) (Denom)(number),Packet Delay Budget QCI1_QCI5_LTE(ms),Packet Delay Budget QCI1_QCI5 (Nom)(number),Packet Delay Budget QCI1_QCI5 (Denom)(number),Packet Loss-DL_LTE(%),Packet Loss-DL (Nom)(number),Packet Loss-DL (Denom)(number),MS_L2W CSFB Prepare SR(%),MS_L2W CSFB Prepare SR_NOM(number),MS_L2W CSFB Prepare SR_DENOM(number),MS_L2W CSFB Execution SR(%),MS_L2W CSFB Execution SR_NOM(number),MS_L2W CSFB Execution SR_DENOM(number),Maximum eNodeB RB utilization DL_LTE(%),Average eNodeB RB utilization UL_LTE(%),dl_avg,ul_avg,dl_peak,ul_peak,MS_RTWP(dBm),RTWP_LTE(dB),RTWP(dBm0),Duration of Cell Unavailability_LTE(s),L.Cell.Avail.Dur(s),MS_Radio Network Availability Rate (LTE)(%),Volume Traffic DL (MB)(MB),MS_Volume Traffic UL (MB)(MB),Total Traffic_LTE(MB),MS_PI_L.Traffic.User.Max(MAX)(number),MS_Number of CSFB-based blind redirections from E-UTRAN to GERAN(number),MS_Number of CSFB-based blind redirections from E-UTRAN to WCDMA(number),MS_CSFB to UMTS Times(times)(times),MS_CSFB to GSM Times(times)(times),MS_L.RRCRedirection.E2W.CSFB(number),MS_PI_L.Traffic.User.Avg(SUM)(number),MS_PI_L.Traffic.User.Max(SUM)(number),MS_L.Traffic.User.DLData.Avg(number),MS_L.traffic.User.ULData.Avg(number),MS_L.Traffic.ActiveUser.Avg(number),MS_L.Traffic.ActiveUser.Max(number),MS_RBLER-DL(%),MS_PI_L.Traffic.User.Avg(AVG)(number),Maximum eNodeB RB utilization DL (Nom)(number),Maximum eNodeB RB utilization DL (Denom)(number),Average eNodeB RB utilization UL (Nom)(number),Average eNodeB RB utilization UL (Denom)(number),Radio Network Availability Rate (LTE) (Nom)(number),Radio Network Availability Rate (LTE) (Denom)(number),MS_Average PDCP Layer Active Cell Throughput DL(number),MS_Average PDCP Layer Active Cell Throughput DL_NOM(number),MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number),MS_Average PDCP Layer Active Cell Throughput UL(number),MS_Average PDCP Layer Active Cell Throughput UL_NOM(number),MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number),MS_Duration of Cell Unavailability(s),MS_UL Packet Loss Rate(%),MS_UL Packet Loss Rate_NOM(number),MS_UL Packet Loss Rate_DENOM(number),MS_RBLER-DL_NOM(number),MS_RBLER-DL_DENOM(number),MS_Inter-RAT HO Success Ratio(%),MS_Inter-RAT HO Success Ratio_DENOM(number),MS_Inter-RAT HO Success Ratio_NOM(number)
103437_AstanaJapura_Bunte_MBTS,100.0,100.0,941.0,941.0,100.0,977.0,977.0,0.2045,2.0,978.0,100.0,288.0,288.0,95.2381,80.0,84.0,0.0,0.0,0.0,100.0,121.0,121.0,100.0,11.0,11.0,100.0,11.0,11.0,100.0,11.0,11.0,100.0,1192.0,1192.0,39.0465,36561322.0,936354.0,0.0,0.0,936354.0,0.0,0.0,938551.0,100.0,0.0,0.0,100.0,0.0,0.0,16.4599,13.1863,7.0262,1.047,17.1119,3.1991,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,1173.6066,58.2949,1231.9016,10.0,0.0,0.0,11.0,0.0,11.0,7.6501,26.0,2.5536,2.7303,0.0,11.0,0.1572,2.55,4.115,25.0,3.2966,25.0,10800.0,10800.0,7983.6952,9844926096.0,1233129.0,1037.8924,489013384.0,471160.0,0.0,0.0,1225.0,794228.0,2115.0,1345467.0,100.0,0.0,0.0
103437_AstanaJapura_Bunte_MBTS,100.0,100.0,878.0,878.0,99.892,925.0,926.0,0.1078,1.0,928.0,100.0,311.0,311.0,97.6378,124.0,127.0,0.0,0.0,0.0,100.0,117.0,117.0,100.0,4.0,4.0,100.0,4.0,4.0,100.0,4.0,4.0,99.8188,1102.0,1104.0,41.6898,40563400.0,972982.0,0.0,0.0,972982.0,0.0,0.0,976298.0,100.0,0.0,0.0,100.0,0.0,0.0,15.7636,13.8865,6.4777,1.1946,15.371,6.7288,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,1061.9964,75.6178,1137.6142,10.0,0.0,0.0,4.0,0.0,4.0,8.7524,25.0,3.4694,3.5395,0.0,14.0,0.2091,2.9175,3.9409,25.0,3.4716,25.0,10800.0,10800.0,7543.597,8908671176.0,1180958.0,1147.9287,634328208.0,552585.0,0.0,0.0,29.0,837292.0,2792.0,1335084.0,100.0,0.0,0.0
103437_AstanaJapura_Bunte_MBTS,100.0,100.0,841.0,841.0,99.893,934.0,935.0,0.1076,1.0,929.0,100.0,576.0,576.0,100.0,143.0,143.0,0.0,0.0,0.0,100.0,117.0,117.0,100.0,6.0,6.0,100.0,6.0,6.0,100.0,6.0,6.0,99.7093,1029.0,1032.0,39.7151,25702132.0,647163.0,0.0,0.0,647163.0,0.0,1.0,648620.0,100.0,0.0,0.0,100.0,0.0,0.0,13.5618,12.6582,6.2704,0.9723,11.5632,0.8399,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,783.3697,34.5267,817.8964,10.0,0.0,0.0,6.0,0.0,6.0,7.41,22.0,2.3464,2.4983,0.0,9.0,0.118,2.47,3.3904,25.0,3.1645,25.0,10800.0,10800.0,6991.6942,6571381512.0,939884.0,925.6253,289630928.0,312903.0,0.0,0.0,24.0,478364.0,1225.0,1037810.0,100.0,0.0,0.0
103437_AstanaJapura_Bunte_MBTS,100.0,100.0,1172.0,1172.0,100.0,1252.0,1252.0,0.0794,1.0,1260.0,100.0,492.0,492.0,99.0385,103.0,104.0,0.0,0.0,0.0,100.0,196.0,196.0,100.0,7.0,7.0,100.0,7.0,7.0,100.0,7.0,7.0,100.0,1491.0,1491.0,88.614,41259047.0,465604.0,0.0,0.0,465604.0,0.0,0.0,466313.0,100.0,0.0,0.0,100.0,0.0,0.0,9.1188,12.5378,7.4968,1.1391,16.7248,1.8635,-118.0,-118.0,-118.0,0.0,10800.0,100.0,484.7737,35.1833,519.957,12.0,0.0,0.0,7.0,0.0,7.0,8.3506,24.0,2.3939,2.6981,0.0,9.0,0.1052,2.7835,2.2797,25.0,3.1345,25.0,10800.0,10800.0,7981.3948,4066576536.0,509507.0,1115.6937,295138912.0,264534.0,0.0,0.0,63.0,435941.0,663.0,629944.0,100.0,0.0,0.0
103437_AstanaJapura_Bunte_MBTS,100.0,100.0,1291.0,1291.0,99.9285,1397.0,1398.0,0.0,0.0,1392.0,100.0,372.0,372.0,97.1831,138.0,142.0,0.0,0.0,0.0,100.0,187.0,187.0,100.0,14.0,14.0,100.0,14.0,14.0,100.0,14.0,14.0,100.0,1605.0,1605.0,68.2063,33426758.0,490083.0,0.0,0.0,490083.0,0.0,0.0,491254.0,100.0,0.0,0.0,100.0,0.0,0.0,10.6688,12.7746,6.7343,0.9979,17.1459,1.1628,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,568.2036,30.6268,598.8305,10.0,0.0,0.0,14.0,0.0,14.0,9.4812,24.0,2.8083,3.0397,0.0,11.0,0.155,3.1604,2.6672,25.0,3.1937,25.0,10800.0,10800.0,7428.0136,4766437496.0,641684.0,966.7385,256916568.0,265756.0,0.0,0.0,68.0,391516.0,1181.0,761694.0,100.0,0.0,0.0
103437_AstanaJapura_Bunte_MBTS,100.0,100.0,1148.0,1148.0,99.9202,1252.0,1253.0,0.0802,1.0,1247.0,100.0,215.0,215.0,99.0991,110.0,111.0,0.0,0.0,0.0,100.0,204.0,204.0,100.0,11.0,11.0,100.0,11.0,11.0,100.0,11.0,11.0,99.7949,1460.0,1463.0,10.222,2602046.0,254554.0,0.0,0.0,254554.0,0.0,0.0,255046.0,100.0,0.0,0.0,100.0,0.0,0.0,6.1817,12.1489,10.9952,1.0411,11.4585,1.1598,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,232.529,21.3123,253.8413,8.0,0.0,0.0,11.0,0.0,11.0,7.383,20.0,1.9428,2.1695,0.0,9.0,0.11,2.461,1.5454,25.0,3.0372,25.0,10800.0,10800.0,9044.7267,1950594800.0,215661.0,1015.5108,178780672.0,176050.0,0.0,0.0,11.0,248957.0,343.0,311837.0,100.0,0.0,0.0
103437_AstanaJapura_Bunte_MBTS,100.0,100.0,1020.0,1020.0,99.9103,1114.0,1115.0,0.0891,1.0,1122.0,100.0,301.0,301.0,96.4286,81.0,84.0,0.0,0.0,0.0,100.0,157.0,157.0,100.0,6.0,6.0,100.0,6.0,6.0,100.0,6.0,6.0,99.9224,1288.0,1289.0,15.6007,4279363.0,274305.0,0.0,0.0,274305.0,0.0,1.0,274561.0,100.0,0.0,0.0,100.0,0.0,0.0,6.5173,12.042,8.8327,1.1704,14.542,1.9232,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,240.6173,22.8496,263.4669,13.0,0.0,0.0,6.0,0.0,6.0,7.1175,28.0,1.9994,2.2286,0.0,10.0,0.074,2.3725,1.6293,25.0,3.0105,25.0,10800.0,10800.0,8226.5594,2018443944.0,245357.0,1107.7052,191676192.0,173039.0,0.0,0.0,11.0,256684.0,255.0,344577.0,100.0,0.0,0.0
103437_AstanaJapura_Bunte_MBTS,100.0,100.0,847.0,847.0,100.0,900.0,900.0,0.4396,4.0,910.0,100.0,213.0,213.0,97.7778,88.0,90.0,0.0,0.0,0.0,100.0,142.0,142.0,100.0,5.0,5.0,100.0,5.0,5.0,100.0,5.0,5.0,100.0,1070.0,1070.0,27.3631,8878082.0,324455.0,0.0,0.0,324455.0,0.0,0.0,325217.0,100.0,0.0,0.0,100.0,0.0,0.0,8.5919,12.4904,6.5698,0.9953,12.8718,0.8901,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,368.4651,28.8904,397.3554,12.0,0.0,0.0,5.0,0.0,5.0,8.4425,28.0,2.5425,2.7981,0.0,11.0,0.1941,2.8142,2.148,25.0,3.1226,25.0,10800.0,10800.0,7160.8824,3090908952.0,431638.0,1000.1727,242349856.0,242308.0,0.0,0.0,15.0,300728.0,1041.0,536360.0,100.0,0.0,0.0
103437_AstanaJapura_Bunte_MBTS,100.0,100.0,911.0,911.0,99.8945,947.0,948.0,0.2162,2.0,925.0,100.0,232.0,232.0,98.8764,88.0,89.0,0.0,0.0,0.0,100.0,144.0,144.0,100.0,9.0,9.0,100.0,9.0,9.0,100.0,9.0,9.0,100.0,1136.0,1136.0,47.5143,12671838.0,266695.0,0.0,0.0,266695.0,0.0,0.0,267254.0,100.0,0.0,0.0,100.0,0.0,0.0,7.1206,12.1094,8.0095,1.1168,16.73,1.4939,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,274.3766,21.9583,296.3349,16.0,0.0,0.0,9.0,0.0,9.0,6.5442,33.0,1.825,1.9997,0.0,9.0,0.1163,2.1814,1.7801,25.0,3.0273,25.0,10800.0,10800.0,7947.534,2301637648.0,289604.0,1060.4042,184199632.0,173707.0,0.0,0.0,22.0,252671.0,436.0,374754.0,100.0,0.0,0.0
103437_AstanaJapura_Bunte_MBTS,100.0,100.0,799.0,799.0,100.0,859.0,859.0,0.0,0.0,866.0,100.0,208.0,208.0,98.5507,68.0,69.0,0.0,0.0,0.0,100.0,147.0,147.0,100.0,2.0,2.0,100.0,2.0,2.0,100.0,2.0,2.0,99.7073,1022.0,1025.0,53.4849,18116138.0,338715.0,0.0,0.0,338715.0,0.0,0.0,339450.0,100.0,0.0,0.0,100.0,0.0,0.0,7.6297,12.0933,9.5077,1.2436,16.5954,1.4383,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,394.8341,24.0846,418.9187,9.0,0.0,0.0,2.0,0.0,2.0,7.0604,24.0,2.1687,2.3034,0.0,11.0,0.1327,2.3535,1.9074,25.0,3.0233,25.0,10800.0,10800.0,9915.2169,3312108784.0,334043.0,1218.3487,202036328.0,165828.0,0.0,0.0,41.0,305415.0,562.0,423385.0,100.0,0.0,0.0
