target,feature_selection,n_feature,features,normalized_mae,original_mae,normalized_mse,original_mse,normalized_r_squared,original_r_squared
dl_avg,Correlation,13,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL_NOM(number)', 'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)'],
      dtype='object')",0.7057627819919706,1.7986717631296978,0.8974644470115499,5.829127749170635,-0.8704799888897847,-0.8704800261829464
dl_avg,Correlation,14,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL_NOM(number)', 'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)'],
      dtype='object')",0.7104190927748069,1.8105385477277964,0.8901491013006502,5.78161372289072,-0.9417650391978947,-0.9417651568600192
dl_avg,Correlation,15,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL_NOM(number)', 'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)'],
      dtype='object')",0.8633981679971301,2.200413393134872,1.281741097183272,8.32504555447933,-0.6461370287667612,-0.6461370562057906
dl_avg,Correlation,16,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL_NOM(number)', 'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)'],
      dtype='object')",0.7805756584562749,1.989336124072472,0.9985689000479668,6.485812028623627,-0.4926403219463451,-0.4926402489150461
dl_avg,Correlation,17,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL_NOM(number)', 'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)'],
      dtype='object')",0.7037816332973963,1.7936226920763652,0.8727847170772584,5.668830183445204,-1.1875429241234885,-1.1875429995318867
dl_avg,Correlation,18,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL_NOM(number)', 'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)'],
      dtype='object')",0.838847342913355,2.1378443973965116,1.1575088556188153,7.518143958135326,-0.8381588039713368,-0.8381588115662537
dl_avg,Correlation,19,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL_NOM(number)', 'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)'],
      dtype='object')",0.7313899003001415,1.8639837040901186,0.9737047651260407,6.324316517685208,-0.9239993158263244,-0.9239993476945523
dl_avg,Correlation,20,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL_NOM(number)', 'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)'],
      dtype='object')",0.8447868393170921,2.15298147805002,1.139600856381989,7.401829529856106,-1.0725384289811353,-1.0725383530704038
dl_avg,Correlation,21,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL_NOM(number)', 'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)',
       'E-RAB Drop Ratio_DENOM_LTE(number)'],
      dtype='object')",0.7037513303717192,1.7935454472223915,0.7919884820770386,5.144049955101504,-1.7380213971525902,-1.738021437336656
dl_avg,Correlation,22,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL_NOM(number)', 'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)',
       'E-RAB Drop Ratio_DENOM_LTE(number)',
       'Maximum eNodeB RB utilization DL_LTE(%)'],
      dtype='object')",0.7822762892563376,1.9936702285236783,1.1042619317432465,7.172299482709254,-1.4893367441378436,-1.4893368817610582
