target,normalized_mae,original_mae,normalized_mse,original_mse,normalized_r_squared,original_r_squared,model
dl_avg,0.5933126151738405,1.5120868707233004,0.58798719486937,3.819039852062215,-5.314585701282816,-5.314585980810702,LSTM
dl_avg,0.6176567172757079,1.574128994931115,0.64211555987386,4.170609226570244,-2.077878572947237,-2.07787863450274,dense
ul_avg,0.6235065608573767,0.24005002555913396,0.6383432146565349,0.09461842252234849,-11.773524541045274,-11.773523506485972,LSTM
ul_avg,0.6421582996205479,0.24723093830744425,0.6693121060649536,0.09920878419811853,-40.978197126153184,-40.97819448650709,dense
