target,timelag,normalized_mae,original_mae,normalized_mse,original_mse,normalized_r_squared,original_r_squared
dl_avg,1,0.6193416977916529,1.578423286151886,0.6057533208368291,3.934432653158941,-7547924.710452774,-7546869.998657261
dl_avg,2,0.6064391800716181,1.54554061410692,0.6099771697243163,3.9618671513669037,-5.803162313719143,-5.803162781245588
dl_avg,3,0.6061669746344313,1.5448468228816985,0.5999857898756956,3.8969718584705677,-5.783542420975187,-5.783541400566916
dl_avg,4,0.6069060729326683,1.546730432065328,0.6077821100817735,3.9476097271110544,-4.3135560702697004,-4.313555986056498
dl_avg,5,0.6159045681482083,1.569663587114546,0.648545950141465,4.212375388619622,-3.2725548846930943,-3.272554895366018
dl_avg,6,0.5985380122372157,1.5254040370676252,0.6151455815139685,3.9954363512314806,-4.030086191694319,-4.030086203765651
dl_avg,7,0.6206688075843133,1.581805476845635,0.6292095003051799,4.086783025307747,-2.451682086405515,-2.45168198322985
dl_avg,8,0.6778645985064397,1.7275718138694764,0.8026703717939027,5.213429932908751,-1.5833749379685509,-1.5833749293475434
dl_avg,9,0.6706980795997582,1.7093076086362204,0.7516090092320028,4.881781077358348,-2.6386552747068457,-2.6386554259176256
dl_avg,10,0.6658065777176846,1.6968413310050965,0.7342061964106117,4.768747750821815,-2.1474131306257473,-2.147413181017699
dl_avg,11,0.649406854399054,1.6550458597871993,0.6628836265736537,4.3055002172560854,-2.1419031089242835,-2.1419031313654657
dl_avg,12,0.6932102094469987,1.7666808803876242,0.8096029316917014,5.258457695290499,-1.5553614963587972,-1.555361557502779
dl_avg,13,0.70695494632185,1.8017100156466168,0.8077483142437148,5.246411723785718,-1.7180611337597758,-1.7180611478608605
dl_avg,14,0.6387949709050882,1.6280009443230097,0.6850512505510138,4.449481195717084,-1.9558877012277303,-1.9558879354184633
dl_avg,15,0.7290807607559174,1.8580987621148424,0.902184448800479,5.859784543301088,-0.9302269502092133,-0.930227010105168
dl_avg,16,0.6614351948699618,1.6857006896879938,0.7892210525477145,5.126075302766495,-1.0966421112645062,-1.0966421550277592
dl_avg,17,0.6410000379195637,1.6336206445852914,0.6860350100510136,4.455870890553069,-1.212412355452547,-1.2124123858530331
dl_avg,18,0.6704516114329321,1.7086794758319854,0.7389804894310475,4.799757472180892,-1.4536646726506697,-1.4536647229914528
dl_avg,19,0.6950102646302881,1.7712683858500589,0.7766641939416341,5.044517179370185,-1.7749100021451656,-1.7749100562611968
dl_avg,20,0.715855562324792,1.824393670071496,0.8259872026538786,5.364875320443573,-1.389100554998182,-1.3891006901809764
dl_avg,21,0.7153712403375508,1.8231593297534516,0.8267668645253665,5.369939223240382,-1.4679891866533055,-1.4679891120743616
dl_avg,22,0.7418484634926329,1.890637888835536,0.9336953054985815,6.06445097129155,-1.1947968392332475,-1.1947967537604751
dl_avg,23,0.7293679277923347,1.8588306203842164,0.8718589026325341,5.662816911523627,-1.3066953195776385,-1.3066955097332809
dl_avg,24,0.7374597234426472,1.8794529554102155,0.8425372453582021,5.472369595727771,-1.1488923862249103,-1.1488923687305639
ul_avg,1,0.6105556055225032,0.23506391062339146,0.6154468773049603,0.09122461494036968,-12.060204457738243,-12.060204675898266
ul_avg,2,0.6071845170414721,0.23376604190203876,0.6129576095518225,0.09085564251411476,-11.456977111501466,-11.456976411434578
ul_avg,3,0.6047029608309207,0.23281064175036223,0.6080338583143491,0.09012581975239582,-17.010348139348984,-17.01034742714821
ul_avg,4,0.6318640248007092,0.24326765049762195,0.643268688235807,0.09534850142947214,-10.548572680111702,-10.548572157693224
ul_avg,5,0.6280561745789406,0.2418016269279851,0.6311136654081656,0.09354682222826954,-15.115462287523975,-15.115461139285895
ul_avg,6,0.6329504713599405,0.24368593407405748,0.6409636316676232,0.09500683599837068,-10.668543887630738,-10.668544742306981
ul_avg,7,0.6387521660066118,0.24591958280205725,0.6684862702499801,0.09908637690475171,-38.39124956940524,-38.391246605340555
ul_avg,8,0.6550093560452365,0.252178601783514,0.7044898888005604,0.10442301266020577,-6.477729050186769,-6.477729009435569
ul_avg,9,0.6174008041500108,0.2376993111431599,0.6303781611810437,0.09343780300125411,-9.726938441596857,-9.726937531918404
ul_avg,10,0.6666818828614693,0.2566725258668264,0.7787751300914054,0.1154339436174635,-3.793085046296241,-3.7930848899464955
ul_avg,11,0.694740207284678,0.2674749797370699,0.7773389586725938,0.11522106575733077,-3.67508841140703,-3.6750880645662445
ul_avg,12,0.7032268367148934,0.27074232848882673,0.8208591302871555,0.12167184269946674,-6.243146595609851,-6.243147849188066
ul_avg,13,0.6267559925205655,0.24130105566779772,0.6681263598613302,0.09903302854441527,-4.197225240545833,-4.1972250506738025
ul_avg,14,0.6341874877531161,0.24416217911077873,0.692160644529153,0.1025955082786812,-4.632217235470336,-4.632217476023033
ul_avg,15,0.650337241876697,0.25037983667386904,0.666599055235144,0.09880664321158156,-1.9957056414235352,-1.9957055031171795
ul_avg,16,0.6150423139406026,0.23679129199915463,0.654092520049881,0.09695286516547255,-3.238940205168264,-3.238939938980203
ul_avg,17,0.7422030521089528,0.2857481777549411,0.9393707568788214,0.13923823318199638,-1.8888372211144522,-1.888837180683964
ul_avg,18,0.767092857121975,0.29533075186742674,0.9797000401478316,0.1452160414803497,-2.010065281105568,-2.010065195570303
ul_avg,19,0.6425091015832689,0.24736600674854387,0.7007470846482398,0.10386823812471054,-2.120900794890378,-2.120900789435999
ul_avg,20,0.7187829154451385,0.27673142120970623,0.8946284234134116,0.1326062987428766,-1.8150812253808537,-1.8150811181938313
