n_features,feature_selection,features,target,MAE,MSE,R_Squared,MAPE,MSLE
14,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)'],
      dtype='object')",dl_avg,1.59,4.108,-0.044,0.208,0.051
15,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)'],
      dtype='object')",dl_avg,1.591,4.202,-0.068,0.213,0.054
16,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)'],
      dtype='object')",dl_avg,1.694,4.531,-0.152,0.222,0.057
17,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)'],
      dtype='object')",dl_avg,1.541,3.986,-0.013,0.203,0.051
18,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)'],
      dtype='object')",dl_avg,1.557,3.964,-0.008,0.207,0.05
19,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)'],
      dtype='object')",dl_avg,1.569,4.069,-0.034,0.207,0.052
20,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)'],
      dtype='object')",dl_avg,1.57,4.052,-0.03,0.204,0.051
21,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)'],
      dtype='object')",dl_avg,1.533,3.903,0.008,0.205,0.05
22,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)',
       'E-RAB Drop Ratio_DENOM_LTE(number)'],
      dtype='object')",dl_avg,1.615,4.146,-0.054,0.213,0.052
23,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'E-RAB Setup Success Ratio (Denom)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)',
       'E-RAB Drop Ratio_DENOM_LTE(number)',
       'Maximum eNodeB RB utilization DL_LTE(%)'],
      dtype='object')",dl_avg,1.631,4.178,-0.062,0.215,0.053
