n_features,feature_selection,features,target,MAE,MSE,R_Squared,MAPE,MSLE
58,SelectFromModel,"Index(['RRC Setup Success Ratio_LTE(%)',
       'RRC Setup Success Ratio_NOM_LTE(number)',
       'RRC Setup Success Ratio_DENOM_LTE(number)',
       'E-RAB Setup Success Ratio_LTE(%)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)',
       'E-RAB Setup Success Ratio (Denom)', 'E-RAB Drop Ratio_LTE(%)',
       'E-RAB Drop Ratio_NOM_LTE(number)',
       'E-RAB Drop Ratio_DENOM_LTE(number)',
       'Intra-eNB Handover Success Ratio_LTE(%)',
       'Intra-eNB Handover Success Ratio_NOM_LTE(number)',
       'Intra-eNB Handover Success Ratio_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_LTE(%)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'CSFB Prepare Success Rate_NOM_LTE(number)',
       'CSFB execution ratio_NOM_LTE(number)',
       'CSFB execution ratio_DENOM_LTE(number)',
       'CSFB SR v7.0_DENOM_LTE(number)', 'S1 Signaling Success Ratio_LTE(%)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'Packet Delay Budget (UE to PGW)',
       'Packet Delay Budget (UE to PGW) (Nom)(number)',
       'Packet Delay Budget (UE to PGW) (Denom)(number)',
       'Packet Loss-DL (Nom)(number)', 'Packet Loss-DL (Denom)(number)',
       'Maximum eNodeB RB utilization DL_LTE(%)',
       'Average eNodeB RB utilization UL_LTE(%)', 'ul_avg', 'dl_peak',
       'ul_peak', 'Volume Traffic DL (MB)(MB)',
       'MS_Volume Traffic UL (MB)(MB)', 'Total Traffic_LTE(MB)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'MS_L.RRCRedirection.E2W.CSFB(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'MS_L.Traffic.ActiveUser.Max(number)', 'MS_RBLER-DL(%)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'Maximum eNodeB RB utilization DL (Nom)(number)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_NOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)',
       'MS_RBLER-DL_DENOM(number)'],
      dtype='object')",dl_avg,1.675,4.742,-0.205,0.222,0.058
59,SelectFromModel,"Index(['RRC Setup Success Ratio_LTE(%)',
       'RRC Setup Success Ratio_NOM_LTE(number)',
       'RRC Setup Success Ratio_DENOM_LTE(number)',
       'E-RAB Setup Success Ratio_LTE(%)',
       'E-RAB Setup Success Ratio_NOM_LTE(number)',
       'E-RAB Setup Success Ratio (Denom)', 'E-RAB Drop Ratio_LTE(%)',
       'E-RAB Drop Ratio_NOM_LTE(number)',
       'E-RAB Drop Ratio_DENOM_LTE(number)',
       'Intra-eNB Handover Success Ratio_LTE(%)',
       'Intra-eNB Handover Success Ratio_NOM_LTE(number)',
       'Intra-eNB Handover Success Ratio_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_LTE(%)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'IRAT Redir Success Rate_NOM_LTE(number)',
       'IRAT Redir Success Rate_DENOM_LTE(number)',
       'CSFB Prepare Success Rate_NOM_LTE(number)',
       'CSFB Prepare Success Rate_DENOM_LTE(number)',
       'CSFB execution ratio_NOM_LTE(number)',
       'CSFB execution ratio_DENOM_LTE(number)',
       'CSFB SR v7.0_DENOM_LTE(number)', 'S1 Signaling Success Ratio_LTE(%)',
       'S1 Signaling Success Ratio_NOM_LTE(number)',
       'S1 Signaling Success Ratio_DENOM_LTE(number)',
       'Packet Delay Budget (UE to PGW)',
       'Packet Delay Budget (UE to PGW) (Nom)(number)',
       'Packet Delay Budget (UE to PGW) (Denom)(number)',
       'Packet Loss-DL (Nom)(number)', 'Packet Loss-DL (Denom)(number)',
       'Maximum eNodeB RB utilization DL_LTE(%)',
       'Average eNodeB RB utilization UL_LTE(%)', 'ul_avg', 'dl_peak',
       'ul_peak', 'Volume Traffic DL (MB)(MB)',
       'MS_Volume Traffic UL (MB)(MB)', 'Total Traffic_LTE(MB)',
       'MS_PI_L.Traffic.User.Max(MAX)(number)',
       'MS_L.RRCRedirection.E2W.CSFB(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_L.Traffic.User.DLData.Avg(number)',
       'MS_L.traffic.User.ULData.Avg(number)',
       'MS_L.Traffic.ActiveUser.Max(number)', 'MS_RBLER-DL(%)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'Maximum eNodeB RB utilization DL (Nom)(number)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_NOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_NOM(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_UL Packet Loss Rate_NOM(number)',
       'MS_UL Packet Loss Rate_DENOM(number)', 'MS_RBLER-DL_NOM(number)',
       'MS_RBLER-DL_DENOM(number)'],
      dtype='object')",dl_avg,1.786,5.38,-0.368,0.233,0.061
2,PCA,"Index(['pca_0', 'pca_1'], dtype='object')",dl_avg,1.556,3.861,0.018,0.21,0.049
3,PCA,"Index(['pca_0', 'pca_1', 'pca_2'], dtype='object')",dl_avg,1.616,4.065,-0.033,0.216,0.051
4,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3'], dtype='object')",dl_avg,1.485,3.626,0.078,0.201,0.047
5,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4'], dtype='object')",dl_avg,1.501,3.784,0.038,0.203,0.049
6,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5'], dtype='object')",dl_avg,1.534,3.786,0.038,0.205,0.049
7,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6'], dtype='object')",dl_avg,1.484,3.604,0.084,0.201,0.047
8,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7'], dtype='object')",dl_avg,1.484,3.713,0.056,0.2,0.048
9,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8'],
      dtype='object')",dl_avg,1.523,3.862,0.018,0.201,0.049
10,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9'],
      dtype='object')",dl_avg,1.51,3.809,0.032,0.199,0.048
11,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10'],
      dtype='object')",dl_avg,1.586,4.142,-0.053,0.207,0.052
12,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11'],
      dtype='object')",dl_avg,1.565,4.175,-0.061,0.208,0.052
13,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12'],
      dtype='object')",dl_avg,1.607,4.341,-0.104,0.208,0.054
14,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13'],
      dtype='object')",dl_avg,1.634,4.687,-0.191,0.216,0.058
15,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14'],
      dtype='object')",dl_avg,1.525,4.154,-0.056,0.205,0.052
16,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15'],
      dtype='object')",dl_avg,1.544,4.09,-0.04,0.204,0.051
17,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16'],
      dtype='object')",dl_avg,1.62,4.711,-0.197,0.212,0.057
18,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17'],
      dtype='object')",dl_avg,1.594,4.644,-0.181,0.213,0.058
19,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18'],
      dtype='object')",dl_avg,1.606,4.259,-0.083,0.212,0.053
20,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19'],
      dtype='object')",dl_avg,1.613,4.614,-0.173,0.217,0.057
21,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20'],
      dtype='object')",dl_avg,1.693,4.908,-0.247,0.226,0.061
22,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21'],
      dtype='object')",dl_avg,1.714,5.207,-0.324,0.226,0.065
23,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22'],
      dtype='object')",dl_avg,1.76,5.381,-0.368,0.238,0.066
24,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23'],
      dtype='object')",dl_avg,1.731,5.119,-0.301,0.229,0.064
25,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24'],
      dtype='object')",dl_avg,1.746,5.084,-0.292,0.228,0.063
26,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25'],
      dtype='object')",dl_avg,1.677,4.632,-0.177,0.222,0.056
27,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26'],
      dtype='object')",dl_avg,1.777,5.292,-0.345,0.23,0.066
28,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27'],
      dtype='object')",dl_avg,1.941,6.361,-0.617,0.254,0.072
29,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28'],
      dtype='object')",dl_avg,1.931,6.16,-0.566,0.25,0.073
30,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29'],
      dtype='object')",dl_avg,1.943,6.692,-0.701,0.251,0.076
31,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30'],
      dtype='object')",dl_avg,1.937,6.421,-0.632,0.249,0.075
32,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31'],
      dtype='object')",dl_avg,2.078,7.411,-0.884,0.269,0.08
33,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32'],
      dtype='object')",dl_avg,2.021,6.726,-0.71,0.261,0.075
34,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33'],
      dtype='object')",dl_avg,1.756,5.257,-0.336,0.23,0.067
35,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34'],
      dtype='object')",dl_avg,1.733,4.977,-0.265,0.232,0.061
36,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35'],
      dtype='object')",dl_avg,1.686,4.857,-0.234,0.225,0.061
37,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36'],
      dtype='object')",dl_avg,1.844,5.834,-0.483,0.241,0.092
38,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36', 'pca_37'],
      dtype='object')",dl_avg,1.92,6.197,-0.575,0.248,0.081
39,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36', 'pca_37', 'pca_38'],
      dtype='object')",dl_avg,2.509,13.291,-2.378,0.319,0.125
40,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36', 'pca_37', 'pca_38', 'pca_39'],
      dtype='object')",dl_avg,2.108,7.073,-0.798,0.269,0.091
41,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36', 'pca_37', 'pca_38', 'pca_39', 'pca_40'],
      dtype='object')",dl_avg,2.305,9.03,-1.295,0.293,0.103
42,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36', 'pca_37', 'pca_38', 'pca_39', 'pca_40', 'pca_41'],
      dtype='object')",dl_avg,2.366,9.994,-1.54,0.3,0.112
43,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36', 'pca_37', 'pca_38', 'pca_39', 'pca_40', 'pca_41', 'pca_42'],
      dtype='object')",dl_avg,2.395,10.662,-1.71,0.307,0.111
44,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36', 'pca_37', 'pca_38', 'pca_39', 'pca_40', 'pca_41', 'pca_42',
       'pca_43'],
      dtype='object')",dl_avg,2.069,7.417,-0.885,0.269,0.087
45,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36', 'pca_37', 'pca_38', 'pca_39', 'pca_40', 'pca_41', 'pca_42',
       'pca_43', 'pca_44'],
      dtype='object')",dl_avg,2.046,6.944,-0.765,0.259,0.092
46,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36', 'pca_37', 'pca_38', 'pca_39', 'pca_40', 'pca_41', 'pca_42',
       'pca_43', 'pca_44', 'pca_45'],
      dtype='object')",dl_avg,2.25,9.516,-1.419,0.29,0.105
47,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36', 'pca_37', 'pca_38', 'pca_39', 'pca_40', 'pca_41', 'pca_42',
       'pca_43', 'pca_44', 'pca_45', 'pca_46'],
      dtype='object')",dl_avg,2.282,8.411,-1.138,0.3,0.095
48,PCA,"Index(['pca_0', 'pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7',
       'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14',
       'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'pca_21',
       'pca_22', 'pca_23', 'pca_24', 'pca_25', 'pca_26', 'pca_27', 'pca_28',
       'pca_29', 'pca_30', 'pca_31', 'pca_32', 'pca_33', 'pca_34', 'pca_35',
       'pca_36', 'pca_37', 'pca_38', 'pca_39', 'pca_40', 'pca_41', 'pca_42',
       'pca_43', 'pca_44', 'pca_45', 'pca_46', 'pca_47'],
      dtype='object')",dl_avg,2.809,15.391,-2.912,0.361,0.135
