,original_y_dl_avg,LSTM_Multivariable_dl_avg_prediction,FNN_Multivariable_dl_avg_prediction,original_y_ul_avg,LSTM_Multivariable_ul_avg_prediction,FNN_Multivariable_ul_avg_prediction
91,8.7913,8.035495,9.021608,1.6771,1.0757502,1.3051674
92,8.7671,7.8512607,7.202995,1.175,1.0893557,1.3005152
93,7.5229,7.4640374,8.296069,1.4165,1.0888252,1.158231
94,7.6937,7.425937,7.870878,0.6266,1.0892317,1.1481199
95,7.9682,7.3833027,7.7865186,1.2626,1.0734396,1.049304
96,12.0344,7.5415726,8.49232,1.5004,1.0849341,0.9788722
97,13.6276,7.903682,10.261491,1.3202,1.0945667,1.199268
98,8.8602,8.001795,9.613123,0.5859,1.1077716,1.1198316
99,8.9526,8.219382,9.27223,0.9881,1.092753,0.9777737
100,8.3872,8.760174,8.197742,1.135,1.1110243,1.0679947
101,9.4367,8.9839945,9.606463,0.9808,1.1236582,1.1290725
102,8.8198,8.949934,8.830942,1.1989,1.1426383,0.95244443
103,10.2856,8.701161,8.950128,1.1778,1.1587331,1.1071306
104,9.7807,8.562352,8.734838,0.7806,1.1685423,1.132549
105,7.8179,8.400173,8.469496,0.7177,1.1565853,1.050203
106,7.2198,8.199064,8.231632,0.8678,1.1480993,1.1763579
107,6.197,7.9975605,8.241133,0.7016,1.133353,1.0008408
108,8.8175,7.955154,7.546966,1.0886,1.1020544,0.8152474
109,8.824,7.8756948,8.463223,0.9575,1.0955307,1.1946056
110,8.762,7.8020043,8.720527,1.1808,1.092102,1.0881617
111,8.7367,7.7032337,7.7931385,1.091,1.0913157,1.0508827
112,9.0655,7.870916,8.528972,1.2118,1.0974879,1.0960866
113,6.0541,8.140986,8.777367,0.9859,1.1153758,1.0072248
114,7.1289,8.194449,7.8387785,1.0997,1.0994017,1.2878197
115,7.1716,8.043844,7.9434495,1.1087,1.0909091,1.0737271
116,7.6573,7.740417,7.9838405,1.1027,1.0890902,1.1093931
117,6.5448,7.5281625,7.6055055,1.2206,1.0956644,1.047349
118,6.6456,7.568594,7.500515,0.9296,1.0897094,1.1283737
119,7.0978,7.6269383,7.9706674,0.7086,1.0821422,1.113565
120,11.2846,7.6695848,7.864899,1.1532,1.084024,0.8118118
121,9.938,7.8828397,8.614201,1.2693,1.0755264,0.9872569
122,8.9078,8.423281,8.978903,1.3311,1.0680544,1.0695114
123,7.3455,8.800159,9.694489,0.947,1.0598271,1.2393976
124,9.0962,9.167513,9.206582,0.9837,1.0555736,1.0207894
125,11.2548,9.46058,9.910486,1.2605,1.0528349,1.2995745
126,11.4216,9.360384,10.323267,0.9236,1.0414828,1.2200038
127,9.4229,9.02101,8.987159,0.9347,1.0377539,1.0046815
128,10.5457,8.67852,9.131015,1.0485,1.044171,1.205625
129,10.7272,8.372952,9.424418,1.2085,1.0403994,1.2279567
130,8.2795,8.334752,8.550938,1.092,1.0464504,1.0477844
131,7.6841,8.232294,8.176125,1.3653,1.0613514,1.171167
132,8.2246,8.020566,8.152181,0.8638,1.0827112,0.98848504
133,10.4289,7.9812126,8.20999,1.1914,1.1039503,1.0131984
134,7.6447,7.8048573,8.896393,1.9058,1.1344795,1.2521038
135,5.8079,7.6676755,7.917055,1.2007,1.1589063,1.2368228
136,9.0964,7.6248927,7.583219,1.0269,1.162211,1.0410928
137,7.9817,7.694482,8.936625,0.7535,1.1810219,1.0285661
138,8.2177,7.779086,6.9889183,1.1516,1.1532904,1.1248609
139,11.7146,7.9651437,8.476157,1.9146,1.1526005,1.1326337
140,10.297,7.9005556,8.976358,1.6546,1.1804801,1.3375149
141,7.3909,7.708658,7.3617487,1.5394,1.1990428,1.3063473
142,7.8335,7.60661,8.006744,1.2062,1.2013961,1.1724255
143,9.2949,7.6807528,8.811182,1.2388,1.1884825,1.0147979
